Corporation,Card,PlayerGames,AvgEloChange
CrediCor,Earth Catapult,602,3.52325581395349
Point Luna,Earth Catapult,610,3.44426229508197
Interplanetary Cinematics,AI Central,442,3.27149321266968
Vitor,AI Central,488,3.0594262295082
Vitor,Earth Catapult,502,3.00996015936255
Cheung Shing Mars,Restricted Area,400,2.9675
Interplanetary Cinematics,Advanced Alloys,522,2.96743295019157
Valley Trust,AI Central,546,2.94139194139194
Interplanetary Cinematics,Earth Catapult,328,2.85670731707317
Point Luna,Restricted Area,554,2.6913357400722
Point Luna,Research Outpost,520,2.66346153846154
Interplanetary Cinematics,Restricted Area,382,2.61780104712042
Point Luna,Advanced Alloys,545,2.59082568807339
Interplanetary Cinematics,Space Elevator,524,2.56870229007634
Point Luna,Earth Office,612,2.52450980392157
Saturn Systems,Earth Catapult,468,2.51923076923077
Cheung Shing Mars,Research Outpost,464,2.5
Cheung Shing Mars,Earth Catapult,374,2.48930481283422
Interplanetary Cinematics,Mohole Area,546,2.42490842490842
Saturn Systems,AI Central,432,2.40509259259259
Mining Guild,Advanced Alloys,568,2.38732394366197
Robinson Industries,Earth Catapult,289,2.33910034602076
Mining Guild,AI Central,441,2.33560090702948
Mining Guild,Restricted Area,543,2.31675874769797
CrediCor,Io Mining Industries,605,2.31404958677686
Mining Guild,Mining Rights,608,2.3125
Point Luna,Titanium Mine,546,2.30952380952381
Cheung Shing Mars,AI Central,407,2.3046683046683
Teractor,Earth Catapult,569,2.29349736379613
Tharsis Republic,Earth Catapult,447,2.29082774049217
Cheung Shing Mars,Giant Ice Asteroid,383,2.28720626631854
Interplanetary Cinematics,Electro Catapult,501,2.2814371257485
Valley Trust,Restricted Area,504,2.27579365079365
Point Luna,Space Hotels,627,2.27272727272727
Point Luna,Mars University,564,2.25709219858156
Teractor,AI Central,417,2.25179856115108
Point Luna,Acquired Company,603,2.24543946932007
Point Luna,Nuclear Zone,559,2.23613595706619
Interplanetary Cinematics,Sabotage,439,2.23462414578588
CrediCor,Mining Rights,549,2.22404371584699
Saturn Systems,Advanced Alloys,486,2.2037037037037
CrediCor,Advanced Alloys,463,2.1792656587473
Ecoline,Earth Catapult,398,2.17336683417085
Saturn Systems,Research Outpost,455,2.16923076923077
Point Luna,AI Central,551,2.16152450090744
Teractor,Development Center,393,2.15776081424936
Point Luna,Robotic Workforce,527,2.15370018975332
Mining Guild,Earth Catapult,378,2.1005291005291
Point Luna,Electro Catapult,526,2.08555133079848
Saturn Systems,Earth Office,502,2.07171314741036
Valley Trust,Earth Catapult,464,2.06034482758621
Cheung Shing Mars,Kelp Farming,406,2.04433497536946
Teractor,Restricted Area,448,2.04241071428571
Ecoline,Giant Ice Asteroid,518,2.03088803088803
Point Luna,Development Center,522,2.02490421455939
Saturn Systems,Asteroid Mining Consortium,645,2.01705426356589
CrediCor,Research Outpost,519,2.00578034682081
Saturn Systems,Io Mining Industries,677,1.98375184638109
Cheung Shing Mars,Advanced Alloys,423,1.97635933806147
Inventrix,Earth Catapult,341,1.97360703812317
Point Luna,Giant Ice Asteroid,521,1.97312859884837
Cheung Shing Mars,Convoy From Europa,424,1.96462264150943
Interplanetary Cinematics,Development Center,416,1.96394230769231
Saturn Systems,Restricted Area,483,1.96066252587992
CrediCor,AI Central,541,1.95009242144177
Point Luna,Olympus Conference,586,1.94027303754266
Interplanetary Cinematics,Natural Preserve,482,1.93153526970954
Interplanetary Cinematics,Research Outpost,534,1.93071161048689
Interplanetary Cinematics,Asteroid Mining Consortium,340,1.90588235294118
Point Luna,Media Group,580,1.90172413793103
Point Luna,Mass Converter,539,1.89981447124304
Saturn Systems,Vesta Shipyard,613,1.89885807504078
Cheung Shing Mars,Mass Converter,437,1.89702517162471
Cheung Shing Mars,Research,418,1.89473684210526
Saturn Systems,Olympus Conference,451,1.89135254988914
Teractor,Advanced Alloys,371,1.88140161725067
Mining Guild,Development Center,418,1.86842105263158
Tharsis Republic,Research Outpost,546,1.85897435897436
Valley Trust,Media Group,475,1.85894736842105
Mining Guild,Research Outpost,560,1.84107142857143
Point Luna,Bribed Committee,604,1.83609271523179
Saturn Systems,Mining Area,429,1.83449883449883
CrediCor,Space Elevator,625,1.832
Vitor,Olympus Conference,484,1.83057851239669
Mining Guild,Inventors' Guild,431,1.82134570765661
Saturn Systems,Mining Rights,451,1.8159645232816
Point Luna,Nitrogen-Rich Asteroid,504,1.81547619047619
Saturn Systems,Mass Converter,468,1.80982905982906
Valley Trust,Advanced Alloys,499,1.80761523046092
Point Luna,Mining Rights,480,1.80416666666667
Point Luna,Sponsors,624,1.80128205128205
Interplanetary Cinematics,Giant Ice Asteroid,377,1.77984084880637
Vitor,Advanced Alloys,434,1.77649769585253
Cheung Shing Mars,Media Group,389,1.77377892030848
Interplanetary Cinematics,Quantum Extractor,353,1.77053824362606
Mining Guild,Mohole Area,548,1.76824817518248
Interplanetary Cinematics,Large Convoy,398,1.76130653266332
Vitor,Restricted Area,504,1.75396825396825
Saturn Systems,Titanium Mine,486,1.74691358024691
Point Luna,Imported GHG,570,1.74210526315789
Robinson Industries,Advanced Alloys,340,1.73529411764706
Interplanetary Cinematics,Industrial Microbes,465,1.73333333333333
Interplanetary Cinematics,Mars University,434,1.73041474654378
Interplanetary Cinematics,Deimos Down,396,1.72222222222222
Saturn Systems,Industrial Microbes,459,1.70806100217865
Mining Guild,Space Elevator,527,1.70398481973435
Mining Guild,Giant Ice Asteroid,466,1.69957081545064
Point Luna,Cartel,592,1.69932432432432
Mining Guild,Electro Catapult,470,1.69148936170213
Vitor,Research,477,1.68972746331237
Cheung Shing Mars,Mining Rights,464,1.68965517241379
Interplanetary Cinematics,Mine,456,1.68640350877193
Interplanetary Cinematics,Cartel,337,1.68545994065282
Cheung Shing Mars,Psychrophiles,427,1.68149882903981
CrediCor,Mining Area,566,1.67491166077739
Interplanetary Cinematics,Olympus Conference,445,1.67415730337079
Interplanetary Cinematics,Mining Area,405,1.67407407407407
Mining Guild,Gene Repair,425,1.67058823529412
Mining Guild,Natural Preserve,574,1.66376306620209
Interplanetary Cinematics,Io Mining Industries,284,1.65845070422535
Vitor,Electro Catapult,464,1.6573275862069
CrediCor,Deimos Down,571,1.65499124343257
Point Luna,Deimos Down,570,1.65263157894737
Point Luna,Great Escarpment Consortium,526,1.65209125475285
Ecoline,Psychrophiles,454,1.65198237885463
Interplanetary Cinematics,Anti-Gravity Technology,364,1.64285714285714
Point Luna,Predators,543,1.6353591160221
Point Luna,Industrial Center,538,1.63011152416357
Point Luna,Natural Preserve,510,1.61960784313725
Teractor,Space Hotels,488,1.61475409836066
Ecoline,Research Outpost,453,1.61368653421634
Interplanetary Cinematics,Lava Flows,419,1.61336515513126
Saturn Systems,Media Group,468,1.61324786324786
Interplanetary Cinematics,Media Group,424,1.61084905660377
Teractor,Research Outpost,394,1.60659898477157
Vitor,Kelp Farming,476,1.60504201680672
Valley Trust,Anti-Gravity Technology,524,1.60496183206107
Cheung Shing Mars,Mine,468,1.60470085470085
Valley Trust,Development Center,515,1.59805825242718
Point Luna,Space Elevator,494,1.59716599190283
Interplanetary Cinematics,Asteroid Mining,315,1.5968253968254
Valley Trust,Plantation,461,1.59219088937093
Point Luna,Industrial Microbes,528,1.58901515151515
Saturn Systems,Import of Advanced GHG,426,1.58450704225352
CrediCor,Optimal Aerobraking,522,1.57662835249042
CrediCor,Mohole Area,581,1.57659208261618
Point Luna,Mine,550,1.57090909090909
Cheung Shing Mars,Development Center,471,1.56263269639066
Interplanetary Cinematics,Indentured Workers,410,1.55853658536585
Valley Trust,Mars University,549,1.55737704918033
Interplanetary Cinematics,Nuclear Zone,382,1.55235602094241
Point Luna,Psychrophiles,524,1.54961832061069
CrediCor,Media Group,541,1.5452865064695
Saturn Systems,Protected Valley,442,1.54072398190045
Saturn Systems,Nuclear Zone,433,1.54041570438799
Cheung Shing Mars,Mining Area,428,1.53738317757009
Point Luna,Trans-Neptune Probe,513,1.53606237816764
Saturn Systems,Energy Tapping,436,1.53211009174312
Point Luna,Business Network,604,1.53145695364238
Vitor,Development Center,480,1.52916666666667
Inventrix,AI Central,456,1.52850877192982
CrediCor,Kelp Farming,530,1.52830188679245
Ecoline,Titanium Mine,457,1.527352297593
