Corporation,PlayerGames,AvgEloChange
Point Luna,11599,1.01146650573325
Interplanetary Cinematics,8420,0.933372921615202
Saturn Systems,10144,0.750788643533123
Cheung Shing Mars,9153,0.61422484431334
Ecoline,10258,0.564437512185611
Mining Guild,9387,0.53435602428891
CrediCor,11585,0.500129477772982
Valley Trust,10584,0.38265306122449
Vitor,9740,0.322381930184805
Teractor,8823,0.195058370168877
Tharsis Republic,9481,0.139858664697817
Robinson Industries,6242,-0.167093880166613
Inventrix,7538,-0.700318386840011
Helion,6961,-0.745151558684097
PhoboLog,5953,-0.844112212329918
ThorGate,3317,-1.07597226409406
United Nations Mars Initiative,3536,-1.71238687782805
